Year,State,Population
2002,Alaska,642337
2002,Arizona,5396255
2002,Arkansas,2705927
2002,California,34871843
2002,Colorado,4490406
2002,Connecticut,3458749
2002,Delaware,806169
2002,District of Columbia,573158
2002,Florida,16689370
2002,Georgia,8508256
2002,Hawaii,1239613
2002,Idaho,1340372
2002,Illinois,12525556
2002,Indiana,6155967
2002,Iowa,2934234
2002,Kansas,2713535
2002,Kentucky,4089875
2002,Louisiana,4497267
2002,Maine,1295960
2002,Maryland,5440389
2002,Massachusetts,6417206
2002,Michigan,10015710
2002,Minnesota,5018935
2002,Mississippi,2858681
2002,Missouri,5674825
2002,Montana,911667
2002,Nebraska,1728292
2002,Nevada,2173791
2002,New Hampshire,1269089
2002,New Jersey,8552643
2002,New Mexico,1855309
2002,New York,19137800
2002,North Carolina,8326201
2002,North Dakota,638168
2002,Ohio,11407889
2002,Oklahoma,3489080
2002,Oregon,3513424
2002,Pennsylvania,12331031
2002,Rhode Island,1065995
2002,South Carolina,4107795
2002,South Dakota,760020
2002,Tennessee,5795918
2002,Texas,21690325
2002,Utah,2324815
2002,Vermont,615442
2002,Virginia,7286873
2002,Washington,6052349
2002,West Virginia,1805414
2002,Wisconsin,5445162
2002,Wyoming,500017
2003,Alabama,4503491
2003,Alaska,648414
2003,Arizona,5510364
2003,Arkansas,2724816
2003,California,35253159
2003,Colorado,4528732
2003,Connecticut,3484336
2003,Delaware,818003
2003,District of Columbia,568502
2003,Florida,17004085
2003,Georgia,8622793
2003,Hawaii,1251154
2003,Idaho,1363380
2003,Illinois,12556006
2003,Indiana,6196638
2003,Iowa,2941999
2003,Kansas,2723004
2003,Kentucky,4117170
2003,Louisiana,4521042
2003,Maine,1306513
2003,Maryland,5496269
2003,Massachusetts,6422565
2003,Michigan,10041152
2003,Minnesota,5053572
2003,Mississippi,2868312
2003,Missouri,5709403
2003,Montana,919630
2003,Nebraska,1738643
2003,Nevada,2248850
2003,New Hampshire,1279840
2003,New Jersey,8601402
2003,New Mexico,1877574
2003,New York,19175939
2003,North Carolina,8422501
2003,North Dakota,638817
2003,Ohio,11434788
2003,Oklahoma,3504892
2003,Oregon,3547376
2003,Pennsylvania,12374658
2003,Rhode Island,1071342
2003,South Carolina,4150297
2003,South Dakota,763729
2003,Tennessee,5847812
2003,Texas,22030931
2003,Utah,2360137
2003,Vermont,617858
2003,Virginia,7366977
2003,Washington,6104115
2003,West Virginia,1812295
2003,Wisconsin,5479203
2003,Wyoming,503453
2004,Alabama,4530729
2004,Alaska,659286
2004,Arizona,5652404
2004,Arkansas,2749686
2004,California,35574576
2004,Colorado,4575013
2004,Connecticut,3496094
2004,Delaware,830803
2004,District of Columbia,567754
2004,Florida,17415318
2004,Georgia,8769252
2004,Hawaii,1273569
2004,Idaho,1391802
2004,Illinois,12589773
2004,Indiana,6233007
2004,Iowa,2953635
2004,Kansas,2734373
2004,Kentucky,4146101
2004,Louisiana,4552238
2004,Maine,1313688
2004,Maryland,5546935
2004,Massachusetts,6412281
2004,Michigan,10055315
2004,Minnesota,5087713
2004,Mississippi,2889010
2004,Missouri,5747741
2004,Montana,930009
2004,Nebraska,1749370
2004,Nevada,2346222
2004,New Hampshire,1290121
2004,New Jersey,8634561
2004,New Mexico,1903808
2004,New York,19171567
2004,North Carolina,8553152
2004,North Dakota,644705
2004,Ohio,11452251
2004,Oklahoma,3525233
2004,Oregon,3569463
2004,Pennsylvania,12410722
2004,Rhode Island,1074579
2004,South Carolina,4210921
2004,South Dakota,770396
2004,Tennessee,5910809
2004,Texas,22394023
2004,Utah,2401580
2004,Vermont,619920
2004,Virginia,7475575
2004,Washington,6178645
2004,West Virginia,1816438
2004,Wisconsin,5514026
2004,Wyoming,509106
2005,Alabama,4569805
2005,Alaska,666946
2005,Arizona,5839077
2005,Arkansas,2781097
2005,California,35827943
2005,Colorado,4631888
2005,Connecticut,3506956
2005,Delaware,845150
2005,District of Columbia,567136
2005,Florida,17842038
2005,Georgia,8925922
2005,Hawaii,1292729
2005,Idaho,1428241
2005,Illinois,12609903
2005,Indiana,6278616
2005,Iowa,2964454
2005,Kansas,2745299
2005,Kentucky,4182742
2005,Louisiana,4576628
2005,Maine,1318787
2005,Maryland,5592379
2005,Massachusetts,6403290
2005,Michigan,10051137
2005,Minnesota,5119598
2005,Mississippi,2905943
2005,Missouri,5790300
2005,Montana,940102
2005,Nebraska,1761497
2005,Nevada,2432143
2005,New Hampshire,1298492
2005,New Jersey,8651974
2005,New Mexico,1932274
2005,New York,19132610
2005,North Carolina,8705407
2005,North Dakota,646089
2005,Ohio,11463320
2005,Oklahoma,3548597
2005,Oregon,3613202
2005,Pennsylvania,12449990
2005,Rhode Island,1067916
2005,South Carolina,4270150
2005,South Dakota,775493
2005,Tennessee,5991057
2005,Texas,22778123
2005,Utah,2457719
2005,Vermont,621215
2005,Virginia,7577105
2005,Washington,6257305
2005,West Virginia,1820492
2005,Wisconsin,5546166
2005,Wyoming,514157
2006,Alabama,4628981
2006,Alaska,675302
2006,Arizona,6029141
2006,Arkansas,2821761
2006,California,36021202
2006,Colorado,4720423
2006,Connecticut,3517460
2006,Delaware,859268
2006,District of Columbia,570681
2006,Florida,18166990
2006,Georgia,9155813
2006,Hawaii,1309731
2006,Idaho,1468669
2006,Illinois,12643955
2006,Indiana,6332669
2006,Iowa,2982644
2006,Kansas,2762931
2006,Kentucky,4219239
2006,Louisiana,4302665
2006,Maine,1323619
2006,Maryland,5627367
2006,Massachusetts,6410084
2006,Michigan,10036081
2006,Minnesota,5163555
2006,Mississippi,2904978
2006,Missouri,5842704
2006,Montana,952692
2006,Nebraska,1772693
2006,Nevada,2522658
2006,New Hampshire,1308389
2006,New Jersey,8661679
2006,New Mexico,1962137
2006,New York,19104631
2006,North Carolina,8917270
2006,North Dakota,649422
2006,Ohio,11481213
2006,Oklahoma,3594090
2006,Oregon,3670883
2006,Pennsylvania,12510809
2006,Rhode Island,1063096
2006,South Carolina,4357847
2006,South Dakota,783033
2006,Tennessee,6088766
2006,Texas,23359580
2006,Utah,2525507
2006,Vermont,622892
2006,Virginia,7673725
2006,Washington,6370753
2006,West Virginia,1827912
2006,Wisconsin,5577655
2006,Wyoming,522667
2007,Alabama,4672840
2007,Alaska,680300
2007,Arizona,6167681
2007,Arkansas,2848650
2007,California,36250311
2007,Colorado,4803868
2007,Connecticut,3527270
2007,Delaware,871749
2007,District of Columbia,574404
2007,Florida,18367842
2007,Georgia,9349988
2007,Hawaii,1315675
2007,Idaho,1505105
2007,Illinois,12695866
2007,Indiana,6379599
2007,Iowa,2999212
2007,Kansas,2783785
2007,Kentucky,4256672
2007,Louisiana,4375581
2007,Maine,1327040
2007,Maryland,5653408
2007,Massachusetts,6431559
2007,Michigan,10001284
2007,Minnesota,5207203
2007,Mississippi,2928350
2007,Missouri,5887612
2007,Montana,964706
2007,Nebraska,1783440
2007,Nevada,2601072
2007,New Hampshire,1312540
2007,New Jersey,8677885
2007,New Mexico,1990070
2007,New York,19132335
2007,North Carolina,9118037
2007,North Dakota,652822
2007,Ohio,11500468
2007,Oklahoma,3634349
2007,Oregon,3722417
2007,Pennsylvania,12563937
2007,Rhode Island,1057315
2007,South Carolina,4444110
2007,South Dakota,791623
2007,Tennessee,6175727
2007,Texas,23831983
2007,Utah,2597746
2007,Vermont,623481
2007,Virginia,7751000
2007,Washington,6461587
2007,West Virginia,1834052
2007,Wisconsin,5610775
2007,Wyoming,534876
2008,Alabama,4718206
2008,Alaska,687455
2008,Arizona,6280362
2008,Arkansas,2874554
2008,California,36604337
2008,Colorado,4889730
2008,Connecticut,3545579
2008,Delaware,883874
2008,District of Columbia,580236
2008,Florida,18527305
2008,Georgia,9504843
2008,Hawaii,1332213
2008,Idaho,1534320
2008,Illinois,12747038
2008,Indiana,6424806
2008,Iowa,3016734
2008,Kansas,2808076
2008,Kentucky,4289878
2008,Louisiana,4435586
2008,Maine,1330509
2008,Maryland,5684965
2008,Massachusetts,6468967
2008,Michigan,9946889
2008,Minnesota,5247018
2008,Mississippi,2947806
2008,Missouri,5923916
2008,Montana,976415
2008,Nebraska,1796378
2008,Nevada,2653630
2008,New Hampshire,1315906
2008,New Jersey,8711090
2008,New Mexico,2010662
2008,New York,19212436
2008,North Carolina,9309449
2008,North Dakota,657569
2008,Ohio,11515391
2008,Oklahoma,3668976
2008,Oregon,3768748
2008,Pennsylvania,12612285
2008,Rhode Island,1055003
2008,South Carolina,4528996
2008,South Dakota,799124
2008,Tennessee,6247411
2008,Texas,24309039
2008,Utah,2663029
2008,Vermont,624151
2008,Virginia,7833496
2008,Washington,6562231
2008,West Virginia,1840310
2008,Wisconsin,5640996
2008,Wyoming,546043
2009,Alabama,4757938
2009,Alaska,698895
2009,Arizona,6343154
2009,Arkansas,2896843
2009,California,36961229
2009,Colorado,4972195
2009,Connecticut,3561807
2009,Delaware,891730
2009,District of Columbia,592228
2009,Florida,18652644
2009,Georgia,9620846
2009,Hawaii,1346717
2009,Idaho,1554439
2009,Illinois,12796778
2009,Indiana,6459325
2009,Iowa,3032870
2009,Kansas,2832704
2009,Kentucky,4317074
2009,Louisiana,4491648
2009,Maine,1329590
2009,Maryland,5730388
2009,Massachusetts,6517613
2009,Michigan,9901591
2009,Minnesota,5281203
2009,Mississippi,2958774
2009,Missouri,5961088
2009,Montana,983982
2009,Nebraska,1812683
2009,Nevada,2684665
2009,New Hampshire,1316102
2009,New Jersey,8755602
2009,New Mexico,2036802
2009,New York,19307066
2009,North Carolina,9449566
2009,North Dakota,664968
2009,Ohio,11528896
2009,Oklahoma,3717572
2009,Oregon,3808600
2009,Pennsylvania,12666858
2009,Rhode Island,1053646
2009,South Carolina,4589872
2009,South Dakota,807067
2009,Tennessee,6306019
2009,Texas,24801761
2009,Utah,2723421
2009,Vermont,624817
2009,Virginia,7925937
2009,Washington,6667426
2009,West Virginia,1847775
2009,Wisconsin,5669264
2009,Wyoming,559851
2010,Alabama,4779736
2010,Alaska,710231
2010,Arizona,6392017
2010,Arkansas,2915918
2010,California,37253956
2010,Colorado,5029196
2010,Connecticut,3574097
2010,Delaware,897934
2010,District of Columbia,601723
2010,Florida,18801310
2010,Georgia,9687653
2010,Hawaii,1360301
2010,Idaho,1567582
2010,Illinois,12830632
2010,Indiana,6483802
2010,Iowa,3046355
2010,Kansas,2853118
2010,Kentucky,4339367
2010,Louisiana,4533372
2010,Maine,1328361
2010,Maryland,5773552
2010,Massachusetts,6547629
2010,Michigan,9883640
2010,Minnesota,5303925
2010,Mississippi,2967297
2010,Missouri,5988927
2010,Montana,989415
2010,Nebraska,1826341
2010,Nevada,2700551
2010,New Hampshire,1316470
2010,New Jersey,8791894
2010,New Mexico,2059179
2010,New York,19378102
2010,North Carolina,9535483
2010,North Dakota,672591
2010,Ohio,11536504
2010,Oklahoma,3751351
2010,Oregon,3831074
2010,Pennsylvania,12702379
2010,Rhode Island,1052567
2010,South Carolina,4625364
2010,South Dakota,814180
2010,Tennessee,6346105
2010,Texas,25145561
2010,Utah,2763885
2010,Vermont,625741
2010,Virginia,8001024
2010,Washington,6724540
2010,West Virginia,1852994
2010,Wisconsin,5686986
2010,Wyoming,563626
2011,Alabama,4802740
2011,Alaska,722718
2011,Arizona,6482505
2011,Arkansas,2937979
2011,California,37691912
2011,Colorado,5116796
2011,Connecticut,3580709
2011,Delaware,907135
2011,District of Columbia,617996
2011,Florida,19057542
2011,Georgia,9815210
2011,Hawaii,1374810
2011,Idaho,1584985
2011,Illinois,12869257
2011,Indiana,6516922
2011,Iowa,3062309
2011,Kansas,2871238
2011,Kentucky,4369356
2011,Louisiana,4574836
2011,Maine,1328188
2011,Maryland,5828289
2011,Massachusetts,6587536
2011,Michigan,9876187
2011,Minnesota,5344861
2011,Mississippi,2978512
2011,Missouri,6010688
2011,Montana,998199
2011,Nebraska,1842641
2011,Nevada,2723322
2011,New Hampshire,1318194
2011,New Jersey,8821155
2011,New Mexico,2082224
2011,New York,19465197
2011,North Carolina,9656401
2011,North Dakota,683932
2011,Ohio,11544951
2011,Oklahoma,3791508
2011,Oregon,3871859
2011,Pennsylvania,12742886
2011,Rhode Island,1051302
2011,South Carolina,4679230
2011,South Dakota,824082
2011,Tennessee,6403353
2011,Texas,25674681
2011,Utah,2817222
2011,Vermont,626431
2011,Virginia,8096604
2011,Washington,6830038
2011,West Virginia,1855364
2011,Wisconsin,5711767
2011,Wyoming,568158
2012,Alabama,4822023
2012,Alaska,731449
2012,Arizona,6553255
2012,Arkansas,2949131
2012,California,38041430
2012,Colorado,5187582
2012,Connecticut,3590347
2012,Delaware,917092
2012,District of Columbia,632323
2012,Florida,19317568
2012,Georgia,9919945
2012,Hawaii,1392313
2012,Idaho,1595728
2012,Illinois,12875255
2012,Indiana,6537334
2012,Iowa,3074186
2012,Kansas,2885905
2012,Kentucky,4380415
2012,Louisiana,4601893
2012,Maine,1329192
2012,Maryland,5884563
2012,Massachusetts,6646144
2012,Michigan,9883360
2012,Minnesota,5379139
2012,Mississippi,2984926
2012,Missouri,6021988
2012,Montana,1005141
2012,Nebraska,1855525
2012,Nevada,2758931
2012,New Hampshire,1320718
2012,New Jersey,8864590
2012,New Mexico,2085538
2012,New York,19570261
2012,North Carolina,9752073
2012,North Dakota,699628
2012,Ohio,11544225
2012,Oklahoma,3814820
2012,Oregon,3899353
2012,Pennsylvania,12763536
2012,Rhode Island,1050292
2012,South Carolina,4723723
2012,South Dakota,833354
2012,Tennessee,6456243
2012,Texas,26059203
2012,Utah,2855287
2012,Vermont,626011
2012,Virginia,8185867
2012,Washington,6897012
2012,West Virginia,1855413
2012,Wisconsin,5726398
2012,Wyoming,576412
2013,Alabama,4833722
2013,Alaska,735132
2013,Arizona,6626624
2013,Arkansas,2959373
2013,California,38332521
2013,Colorado,5268367
2013,Connecticut,3596080
2013,Delaware,925749
2013,District of Columbia,646449
2013,Florida,19552860
2013,Georgia,9992167
2013,Hawaii,1404054
2013,Idaho,1612136
2013,Illinois,12882135
2013,Indiana,6570902
2013,Iowa,3090416
2013,Kansas,2893957
2013,Kentucky,4395295
2013,Louisiana,4625470
2013,Maine,1328302
2013,Maryland,5928814
2013,Massachusetts,6692824
2013,Michigan,9895622
2013,Minnesota,5420380
2013,Mississippi,2991207
2013,Missouri,6044171
2013,Montana,1015165
2013,Nebraska,1868516
2013,Nevada,2790136
2013,New Hampshire,1323459
2013,New Jersey,8899339
2013,New Mexico,2085287
2013,New York,19651127
2013,North Carolina,9848060
2013,North Dakota,723393
2013,Ohio,11570808
2013,Oklahoma,3850568
2013,Oregon,3930065
2013,Pennsylvania,12773801
2013,Rhode Island,1051511
2013,South Carolina,4774839
2013,South Dakota,844877
2013,Tennessee,6495978
2013,Texas,26448193
2013,Utah,2900872
2013,Vermont,626630
2013,Virginia,8260405
2013,Washington,6971406
2013,West Virginia,1854304
2013,Wisconsin,5742713
2013,Wyoming,582658
2014,Alabama,4849377
2014,Alaska,736732
2014,Arizona,6731484
2014,Arkansas,2966369
2014,California,38802500
2014,Colorado,5355866
2014,Connecticut,3596677
2014,Delaware,935614
2014,District of Columbia,658893
2014,Florida,19893297
2014,Georgia,10097343
2014,Hawaii,1419561
2014,Idaho,1634464
2014,Illinois,12880580
2014,Indiana,6596855
2014,Iowa,3107126
2014,Kansas,2904021
2014,Kentucky,4413457
2014,Louisiana,4649676
2014,Maine,1330089
2014,Maryland,5976407
2014,Massachusetts,6745408
2014,Michigan,9909877
2014,Minnesota,5457173
2014,Mississippi,2994079
2014,Missouri,6063589
2014,Montana,1023579
2014,Nebraska,1881503
2014,Nevada,2839099
2014,New Hampshire,1326813
2014,New Jersey,8938175
2014,New Mexico,2085572
2014,New York,19746227
2014,North Carolina,9943964
2014,North Dakota,739482
2014,Ohio,11594163
2014,Oklahoma,3878051
2014,Oregon,3970239
2014,Pennsylvania,12787209
2014,Rhode Island,1055173
2014,South Carolina,4832482
2014,South Dakota,853175
2014,Tennessee,6549352
2014,Texas,26956958
2014,Utah,2942902
2014,Vermont,626562
2014,Virginia,8326289
2014,Washington,7061530
2014,West Virginia,1850326
2014,Wisconsin,5757564
2014,Wyoming,584153
2015,Alabama,4858979
2015,Alaska,738432
2015,Arizona,6828065
2015,Arkansas,2978204
2015,California,39144818
2015,Colorado,5456574
2015,Connecticut,3590886
2015,Delaware,945934
2015,District of Columbia,672228
2015,Florida,20271272
2015,Georgia,10214860
2015,Hawaii,1431603
2015,Idaho,1654930
2015,Illinois,12859995
2015,Indiana,6619680
2015,Iowa,3123899
2015,Kansas,2911641
2015,Kentucky,4425092
2015,Louisiana,4670724
2015,Maine,1329328
2015,Maryland,6006401
2015,Massachusetts,6794422
2015,Michigan,9922576
2015,Minnesota,5489594
2015,Mississippi,2992333
2015,Missouri,6083672
2015,Montana,1032949
2015,Nebraska,1896190
2015,Nevada,2890845
2015,New Hampshire,1330608
2015,New Jersey,8958013
2015,New Mexico,2085109
2015,New York,19795791
2015,North Carolina,10042802
2015,North Dakota,756927
2015,Ohio,11613423
2015,Oklahoma,3911338
2015,Oregon,4028977
2015,Pennsylvania,12802503
2015,Rhode Island,1056298
2015,South Carolina,4896146
2015,South Dakota,858469
2015,Tennessee,6600299
2015,Texas,27469114
2015,Utah,2995919
2015,Vermont,626042
2015,Virginia,8382993
2015,Washington,7170351
2015,West Virginia,1844128
2015,Wisconsin,5771337
2015,Wyoming,586107
2016,Alabama,4863300
2016,Alaska,741894
2016,Arizona,6931071
2016,Arkansas,2988248
2016,California,39250017
2016,Colorado,5540545
2016,Connecticut,3576452
2016,Delaware,952065
2016,District of Columbia,681170
2016,Florida,20612439
2016,Georgia,10310371
2016,Hawaii,1428557
2016,Idaho,1683140
2016,Illinois,12801539
2016,Indiana,6633053
2016,Iowa,3134693
2016,Kansas,2907289
2016,Kentucky,4436974
2016,Louisiana,4681666
2016,Maine,1331479
2016,Maryland,6016447
2016,Massachusetts,6811779
2016,Michigan,9928300
2016,Minnesota,5519952
2016,Mississippi,2988726
2016,Missouri,6093000
2016,Montana,1042520
2016,Nebraska,1907116
2016,Nevada,2940058
2016,New Hampshire,1334795
2016,New Jersey,8944469
2016,New Mexico,2081015
2016,New York,19745289
2016,North Carolina,10146788
2016,North Dakota,757952
2016,Ohio,11614373
2016,Oklahoma,3923561
2016,Oregon,4093465
2016,Pennsylvania,12784227
2016,Rhode Island,1056426
2016,South Carolina,4961119
2016,South Dakota,865454
2016,Tennessee,6651194
2016,Texas,27862596
2016,Utah,3051217
2016,Vermont,624594
2016,Virginia,8411808
2016,Washington,7288000
2016,West Virginia,1831102
2016,Wisconsin,5778708
2016,Wyoming,585501
2017,Alabama,4874747
2017,Alaska,739795
2017,Arizona,7016270
2017,Arkansas,3004279
2017,California,39536653
2017,Colorado,5607154
2017,Connecticut,3588184
2017,Delaware,961939
2017,District of Columbia,693972
2017,Florida,20984400
2017,Georgia,10429379
2017,Hawaii,1427538
2017,Idaho,1716943
2017,Illinois,12802023
2017,Indiana,6666818
2017,Iowa,3145711
2017,Kansas,2913123
2017,Kentucky,4454189
2017,Louisiana,4684333
2017,Maine,1335907
2017,Maryland,6052177
2017,Massachusetts,6859819
2017,Michigan,9962311
2017,Minnesota,5576606
2017,Mississippi,2984100
2017,Missouri,6113532
2017,Montana,1050493
2017,Nebraska,1920076
2017,Nevada,2998039
2017,New Hampshire,1342795
2017,New Jersey,9005644
2017,New Mexico,2088070
2017,New York,19849399
2017,North Carolina,10273419
2017,North Dakota,755393
2017,Ohio,11658609
2017,Oklahoma,3930864
2017,Oregon,4142776
2017,Pennsylvania,12805537
2017,Rhode Island,1059639
2017,South Carolina,5024369
2017,South Dakota,869666
2017,Tennessee,6715984
2017,Texas,28304596
2017,Utah,3101833
2017,Vermont,623657
2017,Virginia,8470020
2017,Washington,7405743
2017,West Virginia,1815857
2017,Wisconsin,5795483
2017,Wyoming,579315
2018,Alabama,4887871
2018,Alaska,737438
2018,Arizona,7171646
2018,Arkansas,3013825
2018,California,39557045
2018,Colorado,5695564
2018,Connecticut,3572665
2018,Delaware,967171
2018,District of Columbia,702455
2018,Florida,21299325
2018,Georgia,10519475
2018,Hawaii,1420491
2018,Idaho,1754208
2018,Illinois,12741080
2018,Indiana,6691878
2018,Iowa,3156145
2018,Kansas,2911505
2018,Kentucky,4468402
2018,Louisiana,4659978
2018,Maine,1338404
2018,Maryland,6042718
2018,Massachusetts,6902149
2018,Michigan,9995915
2018,Minnesota,5611179
2018,Mississippi,2986530
2018,Missouri,6126452
2018,Montana,1062305
2018,Nebraska,1929268
2018,Nevada,3034392
2018,New Hampshire,1356458
2018,New Jersey,8908520
2018,New Mexico,2095428
2018,New York,19542209
2018,North Carolina,10383620
2018,North Dakota,760077
2018,Ohio,11689442
2018,Oklahoma,3943079
2018,Oregon,4190713
2018,Pennsylvania,12807060
2018,Rhode Island,1057315
2018,South Carolina,5084127
2018,South Dakota,882235
2018,Tennessee,6770010
2018,Texas,28701845
2018,Utah,3161105
2018,Vermont,626299
2018,Virginia,8517685
2018,Washington,7535591
2018,West Virginia,1805832
2018,Wisconsin,5813568
2018,Wyoming,577737
2019,Alabama,4903185
2019,Alaska,731545
2019,Arizona,7278717
2019,Arkansas,3017804
2019,California,39512223
2019,Colorado,5758736
2019,Connecticut,3565287
2019,Delaware,973764
2019,District of Columbia,705749
2019,Florida,21477737
2019,Georgia,10617423
2019,Hawaii,1415872
2019,Idaho,1787065
2019,Illinois,12671821
2019,Indiana,6732219
2019,Iowa,3155070
2019,Kansas,2913314
2019,Kentucky,4467673
2019,Louisiana,4648794
2019,Maine,1344212
2019,Maryland,6045680
2019,Massachusetts,6892503
2019,Michigan,9986857
2019,Minnesota,5639632
2019,Mississippi,2976149
2019,Missouri,6137428
2019,Montana,1068778
2019,Nebraska,1934408
2019,Nevada,3080156
2019,New Hampshire,1359711
2019,New Jersey,8882190
2019,New Mexico,2096829
2019,New York,19453561
2019,North Carolina,10488084
2019,North Dakota,762062
2019,Ohio,11689100
2019,Oklahoma,3956971
2019,Oregon,4217737
2019,Pennsylvania,12801989
2019,Rhode Island,1059361
2019,South Carolina,5148714
2019,South Dakota,884659
2019,Tennessee,6829174
2019,Texas,28995881
2019,Utah,3205958
2019,Vermont,623989
2019,Virginia,8535519
2019,Washington,7614893
2019,West Virginia,1792147
2019,Wisconsin,5822434
2019,Wyoming,578759
2020,Alabama,4921532
2020,Alaska,731158
2020,Arizona,7421401
2020,Arkansas,3030522
2020,California,39368078
2020,Colorado,5807719
2020,Connecticut,3557006
2020,Delaware,986809
2020,District of Columbia,712816
2020,Florida,21733312
2020,Georgia,10710017
2020,Hawaii,1407006
2020,Idaho,1826913
2020,Illinois,12587530
2020,Indiana,6754953
2020,Iowa,3163561
2020,Kansas,2913805
2020,Kentucky,4477251
2020,Louisiana,4645318
2020,Maine,1350141
2020,Maryland,6055802
2020,Massachusetts,6893574
2020,Michigan,9966555
2020,Minnesota,5657342
2020,Mississippi,2966786
2020,Missouri,6151548
2020,Montana,1080577
2020,Nebraska,1937552
2020,Nevada,3138259
2020,New Hampshire,1366275
2020,New Jersey,8882371
2020,New Mexico,2106319
2020,New York,19336776
2020,North Carolina,10600823
2020,North Dakota,765309
2020,Ohio,11693217
2020,Oklahoma,3980783
2020,Oregon,4241507
2020,Pennsylvania,12783254
2020,Rhode Island,1057125
2020,South Carolina,5218040
2020,South Dakota,892717
2020,Tennessee,6886834
2020,Texas,29360759
2020,Utah,3249879
2020,Vermont,623347
2020,Virginia,8590563
2020,Washington,7693612
2020,West Virginia,1784787
2020,Wisconsin,5832655
2020,Wyoming,582328
