"Notes"	"Year"	"Year Code"	"State"	"State Code"	Projected Populations
	"2005"	"2005"	"Maryland"	"24"	5600563
	"2005"	"2005"	"Massachusetts"	"25"	6518868
	"2005"	"2005"	"Michigan"	"26"	10207421
	"2005"	"2005"	"Minnesota"	"27"	5174743
	"2005"	"2005"	"Mississippi"	"28"	2915696
	"2005"	"2005"	"Missouri"	"29"	5765166
	"2005"	"2005"	"Montana"	"30"	933005
	"2005"	"2005"	"Nebraska"	"31"	1744370
	"2005"	"2005"	"Nevada"	"32"	2352086
	"2005"	"2005"	"New Hampshire"	"33"	1314821
	"2005"	"2005"	"New Jersey"	"34"	8745279
	"2005"	"2005"	"New Mexico"	"35"	1902057
	"2005"	"2005"	"New York"	"36"	19258082
	"2005"	"2005"	"North Carolina"	"37"	8702410
	"2005"	"2005"	"North Dakota"	"38"	635468
	"2005"	"2005"	"Ohio"	"39"	11477557
	"2005"	"2005"	"Oklahoma"	"40"	3521379
	"2005"	"2005"	"Oregon"	"41"	3596083
	"2005"	"2005"	"Pennsylvania"	"42"	12426603
	"2005"	"2005"	"Rhode Island"	"44"	1086575
	"2005"	"2005"	"South Carolina"	"45"	4239310
	"2005"	"2005"	"South Dakota"	"46"	771803
	"2005"	"2005"	"Tennessee"	"47"	5965317
	"2005"	"2005"	"Texas"	"48"	22775044
	"2005"	"2005"	"Utah"	"49"	2417998
	"2005"	"2005"	"Vermont"	"50"	630979
	"2005"	"2005"	"Virginia"	"51"	7552581
	"2005"	"2005"	"Washington"	"53"	6204632
	"2005"	"2005"	"West Virginia"	"54"	1818887
	"2005"	"2005"	"Wisconsin"	"55"	5554343
	"2005"	"2005"	"Wyoming"	"56"	507268
	"2006"	"2006"	"Alabama"	"01"	4541263
	"2006"	"2006"	"Alaska"	"02"	667147
	"2006"	"2006"	"Arizona"	"04"	6016116
	"2006"	"2006"	"Arkansas"	"05"	2797096
	"2006"	"2006"	"California"	"06"	36449380
	"2006"	"2006"	"Colorado"	"08"	4661034
	"2006"	"2006"	"Connecticut"	"09"	3519930
	"2006"	"2006"	"Delaware"	"10"	846484
	"2006"	"2006"	"District of Columbia"	"11"	546944
	"2006"	"2006"	"Florida"	"12"	17844630
	"2006"	"2006"	"Georgia"	"13"	9059743
	"2006"	"2006"	"Hawaii"	"15"	1290984
	"2006"	"2006"	"Idaho"	"16"	1428666
	"2006"	"2006"	"Illinois"	"17"	12746931
	"2006"	"2006"	"Indiana"	"18"	6279646
	"2006"	"2006"	"Iowa"	"19"	2982331
	"2006"	"2006"	"Kansas"	"20"	2762802
	"2006"	"2006"	"Kentucky"	"21"	4185243
	"2006"	"2006"	"Louisiana"	"22"	4551538
	"2006"	"2006"	"Maine"	"23"	1326648
	"2006"	"2006"	"Maryland"	"24"	5661630
	"2006"	"2006"	"Massachusetts"	"25"	6547882
	"2006"	"2006"	"Michigan"	"26"	10254919
	"2006"	"2006"	"Minnesota"	"27"	5223471
	"2006"	"2006"	"Mississippi"	"28"	2927857
	"2006"	"2006"	"Missouri"	"29"	5797176
	"2006"	"2006"	"Montana"	"30"	940249
	"2006"	"2006"	"Nebraska"	"31"	1749744
	"2006"	"2006"	"Nevada"	"32"	2417645
	"2006"	"2006"	"New Hampshire"	"33"	1328967
	"2006"	"2006"	"New Jersey"	"34"	8804453
	"2006"	"2006"	"New Mexico"	"35"	1919133
	"2006"	"2006"	"New York"	"36"	19304791
	"2006"	"2006"	"North Carolina"	"37"	8829902
	"2006"	"2006"	"North Dakota"	"38"	635879
	"2006"	"2006"	"Ohio"	"39"	11500385
	"2006"	"2006"	"Oklahoma"	"40"	3535634
	"2006"	"2006"	"Oregon"	"41"	3632890
	"2006"	"2006"	"Pennsylvania"	"42"	12460844
	"2006"	"2006"	"Rhode Island"	"44"	1093191
	"2006"	"2006"	"South Carolina"	"45"	4281597
	"2006"	"2006"	"South Dakota"	"46"	774953
	"2006"	"2006"	"Tennessee"	"47"	6018238
	"2006"	"2006"	"Texas"	"48"	23149195
	"2006"	"2006"	"Utah"	"49"	2452863
	"2006"	"2006"	"Vermont"	"50"	635289
	"2006"	"2006"	"Virginia"	"51"	7644514
	"2006"	"2006"	"Washington"	"53"	6266940
	"2006"	"2006"	"West Virginia"	"54"	1822416
	"2006"	"2006"	"Wisconsin"	"55"	5589876
	"2006"	"2006"	"Wyoming"	"56"	510136
	"2007"	"2007"	"Alabama"	"01"	4555152
	"2007"	"2007"	"Alaska"	"02"	673516
	"2007"	"2007"	"Arizona"	"04"	6167024
	"2007"	"2007"	"Arkansas"	"05"	2816936
	"2007"	"2007"	"California"	"06"	36857069
	"2007"	"2007"	"Colorado"	"08"	4703833
	"2007"	"2007"	"Connecticut"	"09"	3535579
	"2007"	"2007"	"Delaware"	"10"	856170
	"2007"	"2007"	"District of Columbia"	"11"	542735
	"2007"	"2007"	"Florida"	"12"	18185887
	"2007"	"2007"	"Georgia"	"13"	9193057
	"2007"	"2007"	"Hawaii"	"15"	1304704
	"2007"	"2007"	"Idaho"	"16"	1450503
	"2007"	"2007"	"Illinois"	"17"	12792383
	"2007"	"2007"	"Indiana"	"18"	6308905
	"2007"	"2007"	"Iowa"	"19"	2990331
	"2007"	"2007"	"Kansas"	"20"	2773846
	"2007"	"2007"	"Kentucky"	"21"	4206322
	"2007"	"2007"	"Louisiana"	"22"	4568034
	"2007"	"2007"	"Maine"	"23"	1334554
	"2007"	"2007"	"Maryland"	"24"	5722510
	"2007"	"2007"	"Massachusetts"	"25"	6575260
	"2007"	"2007"	"Michigan"	"26"	10300770
	"2007"	"2007"	"Minnesota"	"27"	5272397
	"2007"	"2007"	"Mississippi"	"28"	2939520
	"2007"	"2007"	"Missouri"	"29"	5828894
	"2007"	"2007"	"Montana"	"30"	947474
	"2007"	"2007"	"Nebraska"	"31"	1754895
	"2007"	"2007"	"Nevada"	"32"	2484229
	"2007"	"2007"	"New Hampshire"	"33"	1343079
	"2007"	"2007"	"New Jersey"	"34"	8861078
	"2007"	"2007"	"New Mexico"	"35"	1935545
	"2007"	"2007"	"New York"	"36"	19346333
	"2007"	"2007"	"North Carolina"	"37"	8957883
	"2007"	"2007"	"North Dakota"	"38"	636193
	"2007"	"2007"	"Ohio"	"39"	11521570
	"2007"	"2007"	"Oklahoma"	"40"	3549795
	"2007"	"2007"	"Oregon"	"41"	3670799
	"2007"	"2007"	"Pennsylvania"	"42"	12493634
	"2007"	"2007"	"Rhode Island"	"44"	1099496
	"2007"	"2007"	"South Carolina"	"45"	4323556
	"2007"	"2007"	"South Dakota"	"46"	778006
	"2007"	"2007"	"Tennessee"	"47"	6071222
	"2007"	"2007"	"Texas"	"48"	23523782
	"2007"	"2007"	"Utah"	"49"	2488014
	"2007"	"2007"	"Vermont"	"50"	639584
	"2007"	"2007"	"Virginia"	"51"	7736166
	"2007"	"2007"	"Washington"	"53"	6331696
	"2007"	"2007"	"West Virginia"	"54"	1825209
	"2007"	"2007"	"Wisconsin"	"55"	5624971
	"2007"	"2007"	"Wyoming"	"56"	512847
	"2008"	"2008"	"Alabama"	"01"	4568983
	"2008"	"2008"	"Alaska"	"02"	680082
	"2008"	"2008"	"Arizona"	"04"	6320874
	"2008"	"2008"	"Arkansas"	"05"	2836580
	"2008"	"2008"	"California"	"06"	37262310
	"2008"	"2008"	"Colorado"	"08"	4746528
	"2008"	"2008"	"Connecticut"	"09"	3550416
	"2008"	"2008"	"Delaware"	"10"	865705
	"2008"	"2008"	"District of Columbia"	"11"	538487
	"2008"	"2008"	"Florida"	"12"	18533980
	"2008"	"2008"	"Georgia"	"13"	9325827
	"2008"	"2008"	"Hawaii"	"15"	1317607
	"2008"	"2008"	"Idaho"	"16"	1472584
	"2008"	"2008"	"Illinois"	"17"	12835851
	"2008"	"2008"	"Indiana"	"18"	6337404
	"2008"	"2008"	"Iowa"	"19"	2997608
	"2008"	"2008"	"Kansas"	"20"	2784728
	"2008"	"2008"	"Kentucky"	"21"	4226659
	"2008"	"2008"	"Louisiana"	"22"	4583733
	"2008"	"2008"	"Maine"	"23"	1342286
	"2008"	"2008"	"Maryland"	"24"	5783344
	"2008"	"2008"	"Massachusetts"	"25"	6601235
	"2008"	"2008"	"Michigan"	"26"	10345033
	"2008"	"2008"	"Minnesota"	"27"	5321587
	"2008"	"2008"	"Mississippi"	"28"	2950652
	"2008"	"2008"	"Missouri"	"29"	5860326
	"2008"	"2008"	"Montana"	"30"	954653
	"2008"	"2008"	"Nebraska"	"31"	1759829
	"2008"	"2008"	"Nevada"	"32"	2551889
	"2008"	"2008"	"New Hampshire"	"33"	1357216
	"2008"	"2008"	"New Jersey"	"34"	8915495
	"2008"	"2008"	"New Mexico"	"35"	1951229
	"2008"	"2008"	"New York"	"36"	19383109
	"2008"	"2008"	"North Carolina"	"37"	9086527
	"2008"	"2008"	"North Dakota"	"38"	636452
	"2008"	"2008"	"Ohio"	"39"	11541279
	"2008"	"2008"	"Oklahoma"	"40"	3563865
	"2008"	"2008"	"Oregon"	"41"	3709778
	"2008"	"2008"	"Pennsylvania"	"42"	12525118
	"2008"	"2008"	"Rhode Island"	"44"	1105525
	"2008"	"2008"	"South Carolina"	"45"	4365055
	"2008"	"2008"	"South Dakota"	"46"	780947
	"2008"	"2008"	"Tennessee"	"47"	6124341
	"2008"	"2008"	"Texas"	"48"	23898665
	"2008"	"2008"	"Utah"	"49"	2523394
	"2008"	"2008"	"Vermont"	"50"	643905
	"2008"	"2008"	"Virginia"	"51"	7827657
	"2008"	"2008"	"Washington"	"53"	6399035
	"2008"	"2008"	"West Virginia"	"54"	1827226
	"2008"	"2008"	"Wisconsin"	"55"	5659640
	"2008"	"2008"	"Wyoming"	"56"	515408
	"2009"	"2009"	"Alabama"	"01"	4582698
	"2009"	"2009"	"Alaska"	"02"	686965
	"2009"	"2009"	"Arizona"	"04"	6477686
	"2009"	"2009"	"Arkansas"	"05"	2855960
	"2009"	"2009"	"California"	"06"	37665703
	"2009"	"2009"	"Colorado"	"08"	4789060
	"2009"	"2009"	"Connecticut"	"09"	3564393
	"2009"	"2009"	"Delaware"	"10"	875117
	"2009"	"2009"	"District of Columbia"	"11"	534202
	"2009"	"2009"	"Florida"	"12"	18889187
	"2009"	"2009"	"Georgia"	"13"	9457857
	"2009"	"2009"	"Hawaii"	"15"	1329479
	"2009"	"2009"	"Idaho"	"16"	1494862
	"2009"	"2009"	"Illinois"	"17"	12877420
	"2009"	"2009"	"Indiana"	"18"	6365157
	"2009"	"2009"	"Iowa"	"19"	3004163
	"2009"	"2009"	"Kansas"	"20"	2795261
	"2009"	"2009"	"Kentucky"	"21"	4246263
	"2009"	"2009"	"Louisiana"	"22"	4598636
	"2009"	"2009"	"Maine"	"23"	1349786
	"2009"	"2009"	"Maryland"	"24"	5844175
	"2009"	"2009"	"Massachusetts"	"25"	6625910
	"2009"	"2009"	"Michigan"	"26"	10387724
	"2009"	"2009"	"Minnesota"	"27"	5371036
	"2009"	"2009"	"Mississippi"	"28"	2961313
	"2009"	"2009"	"Missouri"	"29"	5891421
	"2009"	"2009"	"Montana"	"30"	961691
	"2009"	"2009"	"Nebraska"	"31"	1764533
	"2009"	"2009"	"Nevada"	"32"	2620688
	"2009"	"2009"	"New Hampshire"	"33"	1371386
	"2009"	"2009"	"New Jersey"	"34"	8967868
	"2009"	"2009"	"New Mexico"	"35"	1966156
	"2009"	"2009"	"New York"	"36"	19415485
	"2009"	"2009"	"North Carolina"	"37"	9215858
	"2009"	"2009"	"North Dakota"	"38"	636612
	"2009"	"2009"	"Ohio"	"39"	11559502
	"2009"	"2009"	"Oklahoma"	"40"	3577766
	"2009"	"2009"	"Oregon"	"41"	3749852
	"2009"	"2009"	"Pennsylvania"	"42"	12555469
	"2009"	"2009"	"Rhode Island"	"44"	1111252
	"2009"	"2009"	"South Carolina"	"45"	4406143
	"2009"	"2009"	"South Dakota"	"46"	783755
	"2009"	"2009"	"Tennessee"	"47"	6177567
	"2009"	"2009"	"Texas"	"48"	24273816
	"2009"	"2009"	"Utah"	"49"	2559059
	"2009"	"2009"	"Vermont"	"50"	648221
	"2009"	"2009"	"Virginia"	"51"	7919021
	"2009"	"2009"	"Washington"	"53"	6469126
	"2009"	"2009"	"West Virginia"	"54"	1828538
	"2009"	"2009"	"Wisconsin"	"55"	5693830
	"2009"	"2009"	"Wyoming"	"56"	517767
	"2010"	"2010"	"Alabama"	"01"	4596330
	"2010"	"2010"	"Alaska"	"02"	694109
	"2010"	"2010"	"Arizona"	"04"	6637381
	"2010"	"2010"	"Arkansas"	"05"	2875039
	"2010"	"2010"	"California"	"06"	38067134
	"2010"	"2010"	"Colorado"	"08"	4831554
	"2010"	"2010"	"Connecticut"	"09"	3577490
	"2010"	"2010"	"Delaware"	"10"	884342
	"2010"	"2010"	"District of Columbia"	"11"	529785
	"2010"	"2010"	"Florida"	"12"	19251691
	"2010"	"2010"	"Georgia"	"13"	9589080
	"2010"	"2010"	"Hawaii"	"15"	1340674
	"2010"	"2010"	"Idaho"	"16"	1517291
	"2010"	"2010"	"Illinois"	"17"	12916894
	"2010"	"2010"	"Indiana"	"18"	6392139
	"2010"	"2010"	"Iowa"	"19"	3009907
	"2010"	"2010"	"Kansas"	"20"	2805470
	"2010"	"2010"	"Kentucky"	"21"	4265117
	"2010"	"2010"	"Louisiana"	"22"	4612679
	"2010"	"2010"	"Maine"	"23"	1357134
	"2010"	"2010"	"Maryland"	"24"	5904970
	"2010"	"2010"	"Massachusetts"	"25"	6649441
	"2010"	"2010"	"Michigan"	"26"	10428683
	"2010"	"2010"	"Minnesota"	"27"	5420636
	"2010"	"2010"	"Mississippi"	"28"	2971412
	"2010"	"2010"	"Missouri"	"29"	5922078
	"2010"	"2010"	"Montana"	"30"	968598
	"2010"	"2010"	"Nebraska"	"31"	1768997
	"2010"	"2010"	"Nevada"	"32"	2690531
	"2010"	"2010"	"New Hampshire"	"33"	1385560
	"2010"	"2010"	"New Jersey"	"34"	9018231
	"2010"	"2010"	"New Mexico"	"35"	1980225
	"2010"	"2010"	"New York"	"36"	19443672
	"2010"	"2010"	"North Carolina"	"37"	9345823
	"2010"	"2010"	"North Dakota"	"38"	636623
	"2010"	"2010"	"Ohio"	"39"	11576181
	"2010"	"2010"	"Oklahoma"	"40"	3591516
	"2010"	"2010"	"Oregon"	"41"	3790996
	"2010"	"2010"	"Pennsylvania"	"42"	12584487
	"2010"	"2010"	"Rhode Island"	"44"	1116652
	"2010"	"2010"	"South Carolina"	"45"	4446704
	"2010"	"2010"	"South Dakota"	"46"	786399
	"2010"	"2010"	"Tennessee"	"47"	6230852
	"2010"	"2010"	"Texas"	"48"	24648888
	"2010"	"2010"	"Utah"	"49"	2595013
	"2010"	"2010"	"Vermont"	"50"	652512
	"2010"	"2010"	"Virginia"	"51"	8010245
	"2010"	"2010"	"Washington"	"53"	6541963
	"2010"	"2010"	"West Virginia"	"54"	1829141
	"2010"	"2010"	"Wisconsin"	"55"	5727426
	"2010"	"2010"	"Wyoming"	"56"	519886
	"2011"	"2011"	"Alabama"	"01"	4609820
	"2011"	"2011"	"Alaska"	"02"	701381
	"2011"	"2011"	"Arizona"	"04"	6800697
	"2011"	"2011"	"Arkansas"	"05"	2893966
	"2011"	"2011"	"California"	"06"	38469883
	"2011"	"2011"	"Colorado"	"08"	4874231
	"2011"	"2011"	"Connecticut"	"09"	3590023
	"2011"	"2011"	"Delaware"	"10"	893422
	"2011"	"2011"	"District of Columbia"	"11"	525289
	"2011"	"2011"	"Florida"	"12"	19622736
	"2011"	"2011"	"Georgia"	"13"	9719339
	"2011"	"2011"	"Hawaii"	"15"	1351329
	"2011"	"2011"	"Idaho"	"16"	1539854
	"2011"	"2011"	"Illinois"	"17"	12955082
	"2011"	"2011"	"Indiana"	"18"	6418398
	"2011"	"2011"	"Iowa"	"19"	3014826
	"2011"	"2011"	"Kansas"	"20"	2815413
	"2011"	"2011"	"Kentucky"	"21"	4283366
	"2011"	"2011"	"Louisiana"	"22"	4626124
	"2011"	"2011"	"Maine"	"23"	1364209
	"2011"	"2011"	"Maryland"	"24"	5965771
	"2011"	"2011"	"Massachusetts"	"25"	6672213
	"2011"	"2011"	"Michigan"	"26"	10467470
	"2011"	"2011"	"Minnesota"	"27"	5470382
	"2011"	"2011"	"Mississippi"	"28"	2981038
	"2011"	"2011"	"Missouri"	"29"	5952408
	"2011"	"2011"	"Montana"	"30"	975263
	"2011"	"2011"	"Nebraska"	"31"	1773254
	"2011"	"2011"	"Nevada"	"32"	2761512
	"2011"	"2011"	"New Hampshire"	"33"	1399835
	"2011"	"2011"	"New Jersey"	"34"	9067407
	"2011"	"2011"	"New Mexico"	"35"	1993648
	"2011"	"2011"	"New York"	"36"	19468803
	"2011"	"2011"	"North Carolina"	"37"	9476534
	"2011"	"2011"	"North Dakota"	"38"	636532
	"2011"	"2011"	"Ohio"	"39"	11591373
	"2011"	"2011"	"Oklahoma"	"40"	3605313
	"2011"	"2011"	"Oregon"	"41"	3833123
	"2011"	"2011"	"Pennsylvania"	"42"	12612380
	"2011"	"2011"	"Rhode Island"	"44"	1121758
	"2011"	"2011"	"South Carolina"	"45"	4486790
	"2011"	"2011"	"South Dakota"	"46"	788892
	"2011"	"2011"	"Tennessee"	"47"	6284421
	"2011"	"2011"	"Texas"	"48"	25026846
	"2011"	"2011"	"Utah"	"49"	2631383
	"2011"	"2011"	"Vermont"	"50"	656767
	"2011"	"2011"	"Virginia"	"51"	8101489
	"2011"	"2011"	"Washington"	"53"	6617654
	"2011"	"2011"	"West Virginia"	"54"	1829099
	"2011"	"2011"	"Wisconsin"	"55"	5760303
	"2011"	"2011"	"Wyoming"	"56"	521831
	"2012"	"2012"	"Alabama"	"01"	4623288
	"2012"	"2012"	"Alaska"	"02"	708914
	"2012"	"2012"	"Arizona"	"04"	6968066
	"2012"	"2012"	"Arkansas"	"05"	2912801
	"2012"	"2012"	"California"	"06"	38877863
	"2012"	"2012"	"Colorado"	"08"	4917355
	"2012"	"2012"	"Connecticut"	"09"	3602158
	"2012"	"2012"	"Delaware"	"10"	902264
	"2012"	"2012"	"District of Columbia"	"11"	520712
	"2012"	"2012"	"Florida"	"12"	20003427
	"2012"	"2012"	"Georgia"	"13"	9848769
	"2012"	"2012"	"Hawaii"	"15"	1361296
	"2012"	"2012"	"Idaho"	"16"	1562398
	"2012"	"2012"	"Illinois"	"17"	12992537
	"2012"	"2012"	"Indiana"	"18"	6444116
	"2012"	"2012"	"Iowa"	"19"	3018988
	"2012"	"2012"	"Kansas"	"20"	2825154
	"2012"	"2012"	"Kentucky"	"21"	4301131
	"2012"	"2012"	"Louisiana"	"22"	4638996
	"2012"	"2012"	"Maine"	"23"	1370982
	"2012"	"2012"	"Maryland"	"24"	6026667
	"2012"	"2012"	"Massachusetts"	"25"	6694497
	"2012"	"2012"	"Michigan"	"26"	10504167
	"2012"	"2012"	"Minnesota"	"27"	5520182
	"2012"	"2012"	"Mississippi"	"28"	2990221
	"2012"	"2012"	"Missouri"	"29"	5982482
	"2012"	"2012"	"Montana"	"30"	981733
	"2012"	"2012"	"Nebraska"	"31"	1777346
	"2012"	"2012"	"Nevada"	"32"	2833751
	"2012"	"2012"	"New Hampshire"	"33"	1414107
	"2012"	"2012"	"New Jersey"	"34"	9115852
	"2012"	"2012"	"New Mexico"	"35"	2006561
	"2012"	"2012"	"New York"	"36"	19491974
	"2012"	"2012"	"North Carolina"	"37"	9608371
	"2012"	"2012"	"North Dakota"	"38"	636351
	"2012"	"2012"	"Ohio"	"39"	11605094
	"2012"	"2012"	"Oklahoma"	"40"	3619273
	"2012"	"2012"	"Oregon"	"41"	3876455
	"2012"	"2012"	"Pennsylvania"	"42"	12639226
	"2012"	"2012"	"Rhode Island"	"44"	1126613
	"2012"	"2012"	"South Carolina"	"45"	4526466
	"2012"	"2012"	"South Dakota"	"46"	791220
	"2012"	"2012"	"Tennessee"	"47"	6338392
	"2012"	"2012"	"Texas"	"48"	25409783
	"2012"	"2012"	"Utah"	"49"	2668319
	"2012"	"2012"	"Vermont"	"50"	660969
	"2012"	"2012"	"Virginia"	"51"	8192854
	"2012"	"2012"	"Washington"	"53"	6696375
	"2012"	"2012"	"West Virginia"	"54"	1828425
	"2012"	"2012"	"Wisconsin"	"55"	5792502
	"2012"	"2012"	"Wyoming"	"56"	523655
	"2013"	"2013"	"Alabama"	"01"	4636657
	"2013"	"2013"	"Alaska"	"02"	716684
	"2013"	"2013"	"Arizona"	"04"	7139678
	"2013"	"2013"	"Arkansas"	"05"	2931613
	"2013"	"2013"	"California"	"06"	39290168
	"2013"	"2013"	"Colorado"	"08"	4960914
	"2013"	"2013"	"Connecticut"	"09"	3613835
	"2013"	"2013"	"Delaware"	"10"	910889
	"2013"	"2013"	"District of Columbia"	"11"	516005
	"2013"	"2013"	"Florida"	"12"	20393946
	"2013"	"2013"	"Georgia"	"13"	9977201
	"2013"	"2013"	"Hawaii"	"15"	1370471
	"2013"	"2013"	"Idaho"	"16"	1584998
	"2013"	"2013"	"Illinois"	"17"	13028814
	"2013"	"2013"	"Indiana"	"18"	6469266
	"2013"	"2013"	"Iowa"	"19"	3022322
	"2013"	"2013"	"Kansas"	"20"	2834644
	"2013"	"2013"	"Kentucky"	"21"	4318351
	"2013"	"2013"	"Louisiana"	"22"	4651282
	"2013"	"2013"	"Maine"	"23"	1377388
	"2013"	"2013"	"Maryland"	"24"	6087491
	"2013"	"2013"	"Massachusetts"	"25"	6716305
	"2013"	"2013"	"Michigan"	"26"	10538487
	"2013"	"2013"	"Minnesota"	"27"	5569829
	"2013"	"2013"	"Mississippi"	"28"	2998838
	"2013"	"2013"	"Missouri"	"29"	6012096
	"2013"	"2013"	"Montana"	"30"	987918
	"2013"	"2013"	"Nebraska"	"31"	1781282
	"2013"	"2013"	"Nevada"	"32"	2907321
	"2013"	"2013"	"New Hampshire"	"33"	1428369
	"2013"	"2013"	"New Jersey"	"34"	9163478
	"2013"	"2013"	"New Mexico"	"35"	2018887
	"2013"	"2013"	"New York"	"36"	19512725
	"2013"	"2013"	"North Carolina"	"37"	9741345
	"2013"	"2013"	"North Dakota"	"38"	636086
	"2013"	"2013"	"Ohio"	"39"	11617119
	"2013"	"2013"	"Oklahoma"	"40"	3633287
	"2013"	"2013"	"Oregon"	"41"	3920890
	"2013"	"2013"	"Pennsylvania"	"42"	12664761
	"2013"	"2013"	"Rhode Island"	"44"	1131213
	"2013"	"2013"	"South Carolina"	"45"	4565601
	"2013"	"2013"	"South Dakota"	"46"	793331
	"2013"	"2013"	"Tennessee"	"47"	6392658
	"2013"	"2013"	"Texas"	"48"	25797428
	"2013"	"2013"	"Utah"	"49"	2705888
	"2013"	"2013"	"Vermont"	"50"	665113
	"2013"	"2013"	"Virginia"	"51"	8284309
	"2013"	"2013"	"Washington"	"53"	6778126
	"2013"	"2013"	"West Virginia"	"54"	1827150
	"2013"	"2013"	"Wisconsin"	"55"	5823732
	"2013"	"2013"	"Wyoming"	"56"	525296
	"2014"	"2014"	"Alabama"	"01"	4649932
	"2014"	"2014"	"Alaska"	"02"	724553
	"2014"	"2014"	"Arizona"	"04"	7315364
	"2014"	"2014"	"Arkansas"	"05"	2950287
	"2014"	"2014"	"California"	"06"	39705716
	"2014"	"2014"	"Colorado"	"08"	5004965
	"2014"	"2014"	"Connecticut"	"09"	3624896
	"2014"	"2014"	"Delaware"	"10"	919299
	"2014"	"2014"	"District of Columbia"	"11"	511233
	"2014"	"2014"	"Florida"	"12"	20794144
	"2014"	"2014"	"Georgia"	"13"	10104512
	"2014"	"2014"	"Hawaii"	"15"	1378731
	"2014"	"2014"	"Idaho"	"16"	1607559
	"2014"	"2014"	"Illinois"	"17"	13063852
	"2014"	"2014"	"Indiana"	"18"	6493780
	"2014"	"2014"	"Iowa"	"19"	3024770
	"2014"	"2014"	"Kansas"	"20"	2843856
	"2014"	"2014"	"Kentucky"	"21"	4335031
	"2014"	"2014"	"Louisiana"	"22"	4662850
	"2014"	"2014"	"Maine"	"23"	1383367
